,Central and Western,Wan Chai (1),Eastern (1),Southern,Yau Tsim Mong,Sham Shui Po,Kowloon City,Wong Tai Sin,Kwun Tong,Kwai Tsing,Tsuen Wan,Tuen Mun,Yuen Long,North,Tai Po,Sha Tin,Sai Kung,Islands,Land
76, 1 083,  894, 3 084, 1 421, 1 561, 2 120, 2 194, 2 397, 4 210, 3 468, 1 636, 2 615, 2 550, 1 298, 1 498, 3 614, 2 091,  731, 38 465
77, 1 004,  865, 2 984, 1 348, 1 424, 2 230, 2 247, 2 490, 4 265, 3 474, 1 680, 2 428, 2 372, 1 333, 1 216, 3 412, 2 037,  735, 37 544
78, 1 042,  840, 3 039, 1 383, 1 367, 2 240, 2 389, 2 512, 4 399, 3 410, 1 669, 2 306, 2 332, 1 231, 1 217, 3 445, 1 858,  713, 37 392
79,  953,  780, 2 996, 1 181, 1 433, 2 075, 2 073, 2 175, 3 875, 2 822, 1 431, 1 993, 1 981,  944, 1 127, 2 946, 1 737,  557, 33 079
80,  905,  812, 2 774, 1 275, 1 290, 1 927, 2 042, 2 154, 3 789, 2 636, 1 313, 1 891, 1 876, 1 071, 1 026, 2 791, 1 732,  505, 31 809
81, 1 128,  943, 3 112, 1 292, 1 343, 2 080, 2 101, 2 398, 3 918, 2 873, 1 449, 1 973, 1 981,  948, 1 099, 3 072, 1 626,  546, 33 882
82,  997, 1 026, 2 949, 1 373, 1 331, 2 109, 2 211, 2 457, 3 918, 2 651, 1 384, 1 849, 2 009, 1 102, 1 096, 2 901, 1 607,  596, 33 566
83, 1 059,  949, 3 069, 1 467, 1 457, 2 203, 2 137, 2 527, 3 914, 2 777, 1 470, 1 798, 2 002, 1 193, 1 144, 2 921, 1 548,  543, 34 178
84, 1 029,  894, 2 893, 1 388, 1 329, 2 166, 2 077, 2 416, 3 666, 2 572, 1 296, 1 431, 1 758, 1 085, 1 073, 2 683, 1 525,  456, 31 737
85+, 8 555, 7 002, 21 930, 10 718, 9 221, 15 879, 15 333, 18 411, 24 821, 16 053, 8 923, 10 049, 12 689, 7 802, 7 806, 18 124, 9 421, 3 473, 226 210
Total, 235 953, 166 695, 529 603, 263 278, 310 647, 431 090, 410 634, 406 802, 673 166, 495 798, 320 094, 506 879, 668 080, 309 631, 316 470, 692 806, 489 037, 185 282,7 411 945
